,field,full_field_name
0,indx,index
1,objctd,objectid
2,id,id
3,name,name
4,stt,state
5,typ,type
6,stts,status
7,cnty,county
8,cntyfps,countyfips
9,cntry,country
10,lttd,latitude
11,lngtd,longitude
12,ncsCd,naics_code
13,ncsDsc,naics_desc
14,src,source
15,srcdt,sourcedate
16,vlMthd,val_method
17,vlDt,val_date
18,wbst,website
19,wlldn,wellidno
20,ap,api
21,prmtn,permitno
22,oprtr,operator
23,oprtrd,operatorid
24,prdtyp,prodtype
25,crdtyp,coordtype
26,srfLt,surf_lat
27,srfLng,surf_long
28,btLt,bot_lat
29,btLng,bot_long
30,psrl,posrel
31,fld,field
32,cmpdt,compdate
33,ttdpth,totdepth
34,geometry,geometry
35,lyrNm,layer_name
36,lyrId,layer_id
37,lyrKy,layer_key
38,svcNm,svc_name
39,svcId,svc_id
40,lbl,label
41,ar,area
42,stbck,setback
43,exFrmBldbl,exclude_from_buildable
44,ftrWdth,feature_width
