,field,full_field_name
0,Parcel,Parcel
1,owner,owner
2,descrption,description
3,bldblRel,buildable-relative
4,bldblAcr,buildable-acre
5,LotSize,size
6,ownerAddr,ownerAddr
7,mailAddr,mailAddr
8,fldHgh,flood-high
9,fldLw,flood-low
10,fld02,flood_02
11,fld02Acr,flood_02-acre
12,fld1,flood_1
13,fld1Acr,flood_1-acre
14,mnmdArprt,manmade_airport
15,mnmdArprtA,manmade_airport-acre
16,mnmdBldng,manmade_building
17,mnmdBldngA,manmade_building-acre
18,mnmdOlAndN,manmade_oil_and_natural_gas
19,mnmdOlAnd0,manmade_oil_and_natural_gas-acre
20,mnmdRl,manmade_rail
21,mnmdRd,manmade_road
22,mnmdRdAcr,manmade_road-acre
23,mnmdTrnsms,manmade_transmission
24,mnmdTrnsm0,manmade_transmission-acre
25,slp,slope
26,slpAcr,slope-acre
27,wtlnds,wetlands
28,wtlndsAcr,wetlands-acre
29,geometry,geometry
30,bldblSmAcr,buildable-small-acre
31,bldblSmRel,buildable-small-relative
32,crtclHbttJ,critical_habitat_joint
33,crtclHbtt0,critical_habitat_joint-acre
34,pdUs,pad_us
35,pdUsAcr,pad_us-acre
36,cnsrvtnEsm,conservation_easements_layer
37,cnsrvtnEs0,conservation_easements_layer-acre
38,acrgClc,acreage_calc
39,cnssZp,census_zip
40,CountyID,cid
41,cntyNm,county_name
42,elvtn,elevation
43,lstUpdtd,last_updated
44,lglDsc1,legal_desc1
45,lglDsc2,legal_desc2
46,lglDsc3,legal_desc3
47,mktVlBldg,mkt_val_bldg
48,mktVlLnd,mkt_val_land
49,mktVlTt,mkt_val_tot
50,mnId,muni_id
51,mnNm,muni_name
52,pn,pin
53,rsId,rausa_id
54,rbstId,robust_id
55,slPrc,sale_price
56,schlDstId,school_dist_id
57,trnsDt,trans_date
58,acrgDdd,acreage_deeded
59,nghCd,ngh_code
60,ownrOccpd,owner_occupied
61,uspsRsdntl,usps_residential
62,LandUseCde,land-use-code
63,LandUseNm,land-use-name
64,bldngs,buildings
65,TreePrcnt,tree
66,trAcr,tree-acre
