,field,full_field_name
0,id,id
1,fd,fid
2,src,SOURCE
3,objctd1,OBJECTID_1
4,objctd,OBJECTID
5,ownr,OWNER
6,stts,STATUS
7,sb1,SUB_1
8,sb2,SUB_2
9,id0,ID
10,vltClss,VOLT_CLASS
11,infrrd,INFERRED
12,typ,TYPE
13,ncsCd,NAICS_CODE
14,ncsDsc,NAICS_DESC
15,srcdt,SOURCEDATE
16,vlMthd,VAL_METHOD
17,vlDt,VAL_DATE
18,vltg,VOLTAGE
19,stts0,states
20,geometry,geometry
21,tbl,table
22,lyrNm,layer_name
23,lyrId,layer_id
24,lyrKy,layer_key
25,svcNm,svc_name
26,svcId,svc_id
27,lbl,label
28,ar,area
29,stbck,setback
30,exFrmBldbl,exclude_from_buildable
31,ftrWdth,feature_width
32,indx,index
33,shpLngth,SHAPE__Length
34,_geometry,_geometry
