,field,full_field_name
0,Parcel,Parcel
1,owner,owner
2,descrption,description
3,bldblRel,buildable-relative
4,bldblAcr,buildable-acre
5,LotSize,size
6,ownerAddr,ownerAddr
7,mailAddr,mailAddr
8,acrgClc,acreage_calc
9,acrgDdd,acreage_deeded
10,bldblSmAcr,buildable-small-acre
11,bldblSmRel,buildable-small-relative
12,cnssZp,census_zip
13,CountyID,cid
14,cntyNm,county_name
15,elvtn,elevation
16,fld02,flood_02
17,fld02Acr,flood_02-acre
18,fld1,flood_1
19,fld1Acr,flood_1-acre
20,LandUseCde,land-use-code
21,LandUseNm,land-use-name
22,lstUpdtd,last_updated
23,mnmdArprt,manmade_airport
24,mnmdArprtA,manmade_airport-acre
25,mnmdBldng,manmade_building
26,mnmdBldngA,manmade_building-acre
27,mnmdOlAndN,manmade_oil_and_natural_gas
28,mnmdOlAnd0,manmade_oil_and_natural_gas-acre
29,mnmdRl,manmade_rail
30,mnmdRd,manmade_road
31,mnmdRdAcr,manmade_road-acre
32,mnmdTrnsms,manmade_transmission
33,mnmdTrnsm0,manmade_transmission-acre
34,mnId,muni_id
35,mnNm,muni_name
36,nghCd,ngh_code
37,ownrOccpd,owner_occupied
38,pn,pin
39,rsId,rausa_id
40,rbstId,robust_id
41,schlDstId,school_dist_id
42,slp,slope
43,slpAcr,slope-acre
44,TreePrcnt,tree
45,trAcr,tree-acre
46,uspsRsdntl,usps_residential
47,geometry,geometry
48,crtclHbttJ,critical_habitat_joint
49,crtclHbtt0,critical_habitat_joint-acre
50,pdUs,pad_us
51,pdUsAcr,pad_us-acre
52,bldngs,buildings
53,cnsrvtnEsm,conservation_easements_layer
54,cnsrvtnEs0,conservation_easements_layer-acre
55,fldHgh,flood-high
56,fldLw,flood-low
57,lglDsc1,legal_desc1
58,lglDsc2,legal_desc2
59,lglDsc3,legal_desc3
60,mktVlBldg,mkt_val_bldg
61,mktVlLnd,mkt_val_land
62,mktVlTt,mkt_val_tot
63,slPrc,sale_price
64,trnsDt,trans_date
65,wtlnds,wetlands
66,wtlndsAcr,wetlands-acre
