,field,full_field_name
0,id,id
1,gdbOd,geodb_oid
2,objctd,objectid
3,prmnnt,permanent_
4,srcF,source_fea
5,srcDt,source_dat
6,srcDs,source_des
7,srcOr,source_ori
8,dtScr,data_secur
9,dstrbt,distributi
10,lddt,loaddate
11,fcd,fcode
12,rnwyId,runway_id
13,fArpr,faa_airpor
14,cty,city
15,stt,state
16,ownrtyp,ownertype
17,usstts,usestatus
18,glbld,globalid
19,shpLng,shape_leng
20,shpAr,shape_area
21,geometry,geometry
22,lyrNm,layer_name
23,lyrId,layer_id
24,lyrKy,layer_key
25,svcNm,svc_name
26,svcId,svc_id
27,lbl,label
28,ar,area
29,stbck,setback
30,exFrmBldbl,exclude_from_buildable
31,ftrWdth,feature_width
