,field,full_field_name
0,Parcel,Parcel
1,owner,owner
2,descrption,description
3,bldblRel,buildable-relative
4,bldblAcr,buildable-acre
5,LotSize,size
6,ownerAddr,ownerAddr
7,mailAddr,mailAddr
8,bldblSmAcr,buildable-small-acre
9,bldblSmRel,buildable-small-relative
10,cnsrvtnEsm,conservation_easements_layer
11,cnsrvtnEs0,conservation_easements_layer-acre
12,crtclHbttJ,critical_habitat_joint
13,crtclHbtt0,critical_habitat_joint-acre
14,fldHgh,flood-high
15,fldLw,flood-low
16,fld02,flood_02
17,fld02Acr,flood_02-acre
18,fld1,flood_1
19,fld1Acr,flood_1-acre
20,mnmdArprt,manmade_airport
21,mnmdArprtA,manmade_airport-acre
22,mnmdBldng,manmade_building
23,mnmdBldngA,manmade_building-acre
24,mnmdOlAndN,manmade_oil_and_natural_gas
25,mnmdOlAnd0,manmade_oil_and_natural_gas-acre
26,mnmdRl,manmade_rail
27,mnmdRd,manmade_road
28,mnmdRdAcr,manmade_road-acre
29,mnmdTrnsms,manmade_transmission
30,mnmdTrnsm0,manmade_transmission-acre
31,pdUs,pad_us
32,pdUsAcr,pad_us-acre
33,slp,slope
34,slpAcr,slope-acre
35,wtlnds,wetlands
36,wtlndsAcr,wetlands-acre
37,geometry,geometry
38,acrgClc,acreage_calc
39,acrgDdd,acreage_deeded
40,cnssZp,census_zip
41,CountyID,cid
42,cntyNm,county_name
43,elvtn,elevation
44,LandUseCde,land-use-code
45,lstUpdtd,last_updated
46,lglDsc1,legal_desc1
47,mnId,muni_id
48,mnNm,muni_name
49,nghCd,ngh_code
50,pn,pin
51,rsId,rausa_id
52,rbstId,robust_id
53,schlDstId,school_dist_id
54,bldngs,buildings
55,LandUseNm,land-use-name
56,mktVlBldg,mkt_val_bldg
57,mktVlLnd,mkt_val_land
58,mktVlTt,mkt_val_tot
59,slPrc,sale_price
60,trnsDt,trans_date
