,field,full_field_name
0,descrption,description
1,bldblPrcnt,Buildable (%)
2,AcresBldbl,Buildable (acre)
3,name,name
4,lbl,label
5,geometry,geometry
6,bldblTSm,Buildable Too Small (%)
7,bldblTSmcr,Buildable Too Small (acre)
8,hghlghtSth,Highlight southern slope hazards
9,sthrnAspct,Southern aspect range (degrees)
10,incldLwstS,Include lowest slope in output drawing
11,hghSlpStbc,High Slope Setback (m)
12,rmvHghSlpF,Remove high slope from buildable area
13,mxSlp,Max Slope (%)
14,fld100YrSt,Flood 100-Year Setback (m)
15,rmv100YrFr,Remove 100-year from buildable area
16,fld500YrSt,Flood 500-Year Setback (m)
17,rmv500YrFr,Remove 500-year from buildable area
18,wtlndsStbc,Wetlands Setback (m)
19,rmvWtlndFr,Remove wetlands from buildable area
20,rdsStbckm,Roads Setback (m)
21,rmvRdsFrmB,Remove roads from buildable area
22,bldngsStbc,Buildings Setback (m)
23,rmvBldngsF,Remove buildings from buildable area
24,trnsmssnLn,Transmission Lines Setback (m)
25,rmvLnsFrmB,Remove lines from buildable area
26,rlwysStbck,Railways Setback (m)
27,rmvRlwysFr,Remove railways from buildable area
28,arprtRnwys,Airport Runways Setback (m)
29,rmvRnwysFr,Remove runways from buildable area
30,olAndNtrlG,Oil and Natural Gas Wells Setback (m)
31,rmvOlgsWll,Remove oil/gas wells from buildable area
32,cnsrvtnEsm,Conservation Easements Setback (m)
33,rmvEsmntsF,Remove easements from buildable area
34,crtclHbtts,Critical Habitats Setback (m)
35,rmvHbttsFr,Remove habitats from buildable area
36,pblcLndsSt,Public Lands Setback (m)
37,rmvLndsFrm,Remove lands from buildable area
38,hghSlpRel,High Slope - Relative (%)
39,hghSlpAcrs,High Slope - Acres
40,stbckRel,High Slope inc. Setback - Relative (%)
41,hghSlpFtrC,High Slope - Feature Count
42,fld100YrRe,Flood 100-Year - Relative (%)
43,fld100YrAc,Flood 100-Year - Acres
44,stbckRel0,Flood 100-Year inc. Setback - Relative (%)
45,fld100YrFt,Flood 100-Year - Feature Count
46,fld500YrRe,Flood 500-Year - Relative (%)
47,fld500YrAc,Flood 500-Year - Acres
48,stbckRel1,Flood 500-Year inc. Setback - Relative (%)
49,fld500YrFt,Flood 500-Year - Feature Count
50,wtlndsRel,Wetlands - Relative (%)
51,wtlndsAcrs,Wetlands - Acres
52,stbckRel2,Wetlands inc. Setback - Relative (%)
53,wtlndsFtrC,Wetlands - Feature Count
54,rdsRel,Roads - Relative (%)
55,rdsAcrs,Roads - Acres
56,stbckRel3,Roads inc. Setback - Relative (%)
57,rdsFtrCnt,Roads - Feature Count
58,bldngsRel,Buildings - Relative (%)
59,bldngsAcrs,Buildings - Acres
60,stbckRel4,Buildings inc. Setback - Relative (%)
61,bldngsFtrC,Buildings - Feature Count
62,trnsmssnL0,Transmission Lines - Relative (%)
63,trnsmssnL1,Transmission Lines - Acres
64,stbckRel5,Transmission Lines inc. Setback - Relative (%)
65,trnsmssnL2,Transmission Lines - Feature Count
66,rlwysRel,Railways - Relative (%)
67,rlwysAcrs,Railways - Acres
68,stbckRel6,Railways inc. Setback - Relative (%)
69,rlwysFtrCn,Railways - Feature Count
70,arprtRnwy0,Airport Runways - Relative (%)
71,arprtRnwy1,Airport Runways - Acres
72,stbckRel7,Airport Runways inc. Setback - Relative (%)
73,arprtRnwy2,Airport Runways - Feature Count
74,olAndNtrl0,Oil and Natural Gas Wells - Relative (%)
75,olAndNtrl1,Oil and Natural Gas Wells - Acres
76,stbckRel8,Oil and Natural Gas Wells inc. Setback - Relative (%)
77,olAndNtrl2,Oil and Natural Gas Wells - Feature Count
78,cnsrvtnEs0,Conservation Easements - Relative (%)
79,cnsrvtnEs1,Conservation Easements - Acres
80,stbckRel9,Conservation Easements inc. Setback - Relative (%)
81,cnsrvtnEs2,Conservation Easements - Feature Count
82,crtclHbtt0,Critical Habitats - Relative (%)
83,crtclHbtt1,Critical Habitats - Acres
84,stbckRel10,Critical Habitats inc. Setback - Relative (%)
85,crtclHbtt2,Critical Habitats - Feature Count
86,pblcLndsRe,Public Lands - Relative (%)
87,pblcLndsAc,Public Lands - Acres
88,stbckRel11,Public Lands inc. Setback - Relative (%)
89,pblcLndsFt,Public Lands - Feature Count
90,bVrsn,BAA Version
91,bldToSmAc,buildable_too_small_acres
92,mxTrCvr,Max tree cover (%)
93,trCvrStbck,Tree Cover Setback (m)
94,rmvTrCvrFr,Remove tree cover from buildable area
95,trCvrRel,Tree Cover - Relative (%)
96,trCvrAcrs,Tree Cover - Acres
97,stbckRel12,Tree Cover inc. Setback - Relative (%)
98,trCvrFtrCn,Tree Cover - Feature Count
99,anlyssSrs,Analysis SRS
