,field,full_field_name
0,descrption,description
1,bldblPrcnt,Buildable (%)
2,AcresBldbl,Buildable (acre)
3,name,name
4,lbl,label
5,geometry,geometry
6,hghlghtSth,Highlight southern slope hazards
7,sthrnAspct,Southern aspect range (degrees)
8,incldLwstS,Include lowest slope in output drawing
9,hghSlpStbc,High Slope Setback (m)
10,rmvHghSlpF,Remove high slope from buildable area
11,mxSlp,Max Slope (%)
12,fld100YrSt,Flood 100-Year Setback (m)
13,rmv100YrFr,Remove 100-year from buildable area
14,fld500YrSt,Flood 500-Year Setback (m)
15,rmv500YrFr,Remove 500-year from buildable area
16,wtlndsStbc,Wetlands Setback (m)
17,rmvWtlndFr,Remove wetlands from buildable area
18,mxTrCvr,Max tree cover (%)
19,trCvrStbck,Tree Cover Setback (m)
20,rmvTrCvrFr,Remove tree cover from buildable area
21,rdsStbckm,Roads Setback (m)
22,rmvRdsFrmB,Remove roads from buildable area
23,bldngsStbc,Buildings Setback (m)
24,rmvBldngsF,Remove buildings from buildable area
25,trnsmssnLn,Transmission Lines Setback (m)
26,rmvLnsFrmB,Remove lines from buildable area
27,rlwysStbck,Railways Setback (m)
28,rmvRlwysFr,Remove railways from buildable area
29,arprtRnwys,Airport Runways Setback (m)
30,rmvRnwysFr,Remove runways from buildable area
31,olAndNtrlG,Oil and Natural Gas Wells Setback (m)
32,rmvOlgsWll,Remove oil/gas wells from buildable area
33,cnsrvtnEsm,Conservation Easements Setback (m)
34,rmvEsmntsF,Remove easements from buildable area
35,crtclHbtts,Critical Habitats Setback (m)
36,rmvHbttsFr,Remove habitats from buildable area
37,hghSlpRel,High Slope - Relative (%)
38,hghSlpAcrs,High Slope - Acres
39,stbckRel,High Slope inc. Setback - Relative (%)
40,hghSlpFtrC,High Slope - Feature Count
41,fld100YrRe,Flood 100-Year - Relative (%)
42,fld100YrAc,Flood 100-Year - Acres
43,stbckRel0,Flood 100-Year inc. Setback - Relative (%)
44,fld100YrFt,Flood 100-Year - Feature Count
45,fld500YrRe,Flood 500-Year - Relative (%)
46,fld500YrAc,Flood 500-Year - Acres
47,stbckRel1,Flood 500-Year inc. Setback - Relative (%)
48,fld500YrFt,Flood 500-Year - Feature Count
49,wtlndsRel,Wetlands - Relative (%)
50,wtlndsAcrs,Wetlands - Acres
51,stbckRel2,Wetlands inc. Setback - Relative (%)
52,wtlndsFtrC,Wetlands - Feature Count
53,trCvrRel,Tree Cover - Relative (%)
54,trCvrAcrs,Tree Cover - Acres
55,stbckRel3,Tree Cover inc. Setback - Relative (%)
56,trCvrFtrCn,Tree Cover - Feature Count
57,rdsRel,Roads - Relative (%)
58,rdsAcrs,Roads - Acres
59,stbckRel4,Roads inc. Setback - Relative (%)
60,rdsFtrCnt,Roads - Feature Count
61,bldngsRel,Buildings - Relative (%)
62,bldngsAcrs,Buildings - Acres
63,stbckRel5,Buildings inc. Setback - Relative (%)
64,bldngsFtrC,Buildings - Feature Count
65,trnsmssnL0,Transmission Lines - Relative (%)
66,trnsmssnL1,Transmission Lines - Acres
67,stbckRel6,Transmission Lines inc. Setback - Relative (%)
68,trnsmssnL2,Transmission Lines - Feature Count
69,rlwysRel,Railways - Relative (%)
70,rlwysAcrs,Railways - Acres
71,stbckRel7,Railways inc. Setback - Relative (%)
72,rlwysFtrCn,Railways - Feature Count
73,arprtRnwy0,Airport Runways - Relative (%)
74,arprtRnwy1,Airport Runways - Acres
75,stbckRel8,Airport Runways inc. Setback - Relative (%)
76,arprtRnwy2,Airport Runways - Feature Count
77,olAndNtrl0,Oil and Natural Gas Wells - Relative (%)
78,olAndNtrl1,Oil and Natural Gas Wells - Acres
79,stbckRel9,Oil and Natural Gas Wells inc. Setback - Relative (%)
80,olAndNtrl2,Oil and Natural Gas Wells - Feature Count
81,cnsrvtnEs0,Conservation Easements - Relative (%)
82,cnsrvtnEs1,Conservation Easements - Acres
83,stbckRel10,Conservation Easements inc. Setback - Relative (%)
84,cnsrvtnEs2,Conservation Easements - Feature Count
85,crtclHbtt0,Critical Habitats - Relative (%)
86,crtclHbtt1,Critical Habitats - Acres
87,stbckRel11,Critical Habitats inc. Setback - Relative (%)
88,crtclHbtt2,Critical Habitats - Feature Count
89,bVrsn,BAA Version
90,bldToSmAc,buildable_too_small_acres
91,bldblTSm,Buildable Too Small (%)
92,bldblTSmcr,Buildable Too Small (acre)
93,pblcLndsSt,Public Lands Setback (m)
94,rmvLndsFrm,Remove lands from buildable area
95,pblcLndsRe,Public Lands - Relative (%)
96,pblcLndsAc,Public Lands - Acres
97,stbckRel12,Public Lands inc. Setback - Relative (%)
98,pblcLndsFt,Public Lands - Feature Count
