,field,full_field_name
0,Parcel,Parcel
1,owner,owner
2,descrption,description
3,bldblRel,buildable-relative
4,bldblAcr,buildable-acre
5,LotSize,size
6,ownerAddr,ownerAddr
7,mailAddr,mailAddr
8,cnsrvtnEsm,conservation_easements_layer
9,cnsrvtnEs0,conservation_easements_layer-acre
10,crtclHbttJ,critical_habitat_joint
11,crtclHbtt0,critical_habitat_joint-acre
12,fldHgh,flood-high
13,fldLw,flood-low
14,fld02,flood_02
15,fld02Acr,flood_02-acre
16,fld1,flood_1
17,fld1Acr,flood_1-acre
18,mnmdArprt,manmade_airport
19,mnmdArprtA,manmade_airport-acre
20,mnmdBldng,manmade_building
21,mnmdBldngA,manmade_building-acre
22,mnmdOlAndN,manmade_oil_and_natural_gas
23,mnmdOlAnd0,manmade_oil_and_natural_gas-acre
24,mnmdRl,manmade_rail
25,mnmdRd,manmade_road
26,mnmdRdAcr,manmade_road-acre
27,mnmdTrnsms,manmade_transmission
28,mnmdTrnsm0,manmade_transmission-acre
29,slp,slope
30,slpAcr,slope-acre
31,wtlnds,wetlands
32,wtlndsAcr,wetlands-acre
33,geometry,geometry
34,bldblSmAcr,buildable-small-acre
35,bldblSmRel,buildable-small-relative
36,pdUs,pad_us
37,pdUsAcr,pad_us-acre
38,acrgClc,acreage_calc
39,acrgDdd,acreage_deeded
40,bldngs,buildings
41,cnssZp,census_zip
42,CountyID,cid
43,cntyNm,county_name
44,elvtn,elevation
45,lstUpdtd,last_updated
46,lglDsc1,legal_desc1
47,mnId,muni_id
48,mnNm,muni_name
49,nghCd,ngh_code
50,pn,pin
51,rsId,rausa_id
52,rbstId,robust_id
53,slPrc,sale_price
54,schlDstId,school_dist_id
55,trnsDt,trans_date
56,TreePrcnt,tree
57,trAcr,tree-acre
58,LandUseCde,land-use-code
59,LandUseNm,land-use-name
